amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
32,0.1056,0.1022,0.1078,0.1224,0.101
64,0.113,0.1034,0.1012,0.1424,0.119
96,0.104,0.1,0.107,0.1266,0.1008
128,0.1014,0.1,0.119,0.1088,0.1026
160,0.108,0.0992,0.1272,0.096,0.105
192,0.1156,0.1234,0.154,0.1298,0.125
224,0.1368,0.1446,0.1864,0.1686,0.1684
256,0.1738,0.1784,0.2324,0.1868,0.2026
288,0.2484,0.2484,0.2848,0.229,0.262
320,0.324,0.3568,0.3468,0.3082,0.3216
352,0.3628,0.4268,0.3924,0.3622,0.3868
384,0.4156,0.4468,0.4288,0.4026,0.41
416,0.4304,0.47,0.4478,0.4198,0.4226
448,0.452,0.4812,0.4644,0.445,0.438
480,0.4508,0.499,0.4846,0.4514,0.4424
512,0.469,0.5082,0.5016,0.4662,0.4526
544,0.4824,0.5186,0.5012,0.4598,0.4768
576,0.5042,0.5178,0.4936,0.481,0.4732
608,0.502,0.5366,0.5126,0.4784,0.4704
640,0.5022,0.5422,0.5242,0.4786,0.4878
