amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
128,0.009359999999999999,0.010519999999999998,0.00912,0.01004,0.010320000000000001
256,0.009359999999999999,0.010179999999999998,0.009220000000000002,0.01006,0.0103
384,0.00956,0.00968,0.009500000000000001,0.009240000000000002,0.010100000000000001
512,0.00946,0.00984,0.009260000000000001,0.009700000000000002,0.01064
640,0.009739999999999999,0.0099,0.010100000000000001,0.009540000000000003,0.010520000000000002
768,0.009600000000000001,0.00974,0.010100000000000001,0.00996,0.01068
896,0.00954,0.010239999999999999,0.010220000000000002,0.009740000000000002,0.010520000000000002
1024,0.009920000000000002,0.011059999999999999,0.010579999999999999,0.010220000000000002,0.010620000000000001
1152,0.01036,0.010740000000000001,0.01022,0.010220000000000002,0.01038
1280,0.011099999999999999,0.01068,0.010239999999999999,0.01064,0.0107
1408,0.01064,0.0105,0.01008,0.01088,0.01012
1536,0.011019999999999999,0.0105,0.0111,0.01088,0.01014
1664,0.011279999999999998,0.011079999999999998,0.0116,0.011399999999999999,0.0111
1792,0.011399999999999999,0.011559999999999997,0.012080000000000002,0.011399999999999999,0.011120000000000001
1920,0.011399999999999999,0.0114,0.011980000000000001,0.011399999999999999,0.0113
2048,0.011399999999999999,0.01268,0.01208,0.011399999999999999,0.01196
2176,0.011399999999999999,0.013979999999999998,0.013440000000000002,0.011399999999999999,0.01154
2304,0.011399999999999999,0.01492,0.0142,0.011399999999999999,0.013599999999999998
2432,0.011399999999999999,0.014859999999999998,0.015159999999999998,0.011459999999999998,0.011780000000000002
2560,0.011399999999999999,0.015340000000000001,0.015460000000000002,0.011399999999999999,0.01354
2688,0.011459999999999998,0.01542,0.01602,0.011399999999999999,0.01354
2816,0.011559999999999997,0.0156,0.01666,0.01154,0.0155
2944,0.01202,0.01748,0.01712,0.01192,0.016319999999999998
3072,0.013300000000000001,0.01856,0.018459999999999997,0.01278,0.021580000000000002
3200,0.014879999999999999,0.019080000000000003,0.0203,0.013640000000000003,0.018840000000000003
3328,0.0163,0.020659999999999998,0.02128,0.014339999999999997,0.02188
3456,0.01704,0.02204,0.021759999999999998,0.015519999999999997,0.022420000000000002
3584,0.0177,0.023960000000000002,0.02284,0.016620000000000003,0.024259999999999997
3712,0.018080000000000002,0.02472,0.024240000000000005,0.017579999999999995,0.023380000000000005
3840,0.018459999999999997,0.026539999999999998,0.024579999999999998,0.017820000000000003,0.0256
3968,0.01812,0.02606,0.026200000000000008,0.018639999999999997,0.02618
4096,0.020619999999999996,0.027559999999999994,0.02778,0.019899999999999998,0.028199999999999996
4224,0.02052,0.02804,0.028499999999999998,0.020440000000000003,0.02898
4352,0.022,0.027999999999999997,0.029199999999999993,0.020260000000000004,0.029059999999999996
4480,0.022439999999999998,0.029720000000000003,0.029059999999999996,0.022260000000000002,0.0293
4608,0.02412,0.0311,0.030160000000000003,0.02286,0.030419999999999996
4736,0.025280000000000004,0.03168,0.03176,0.023960000000000002,0.03126
4864,0.027139999999999997,0.03182,0.033440000000000004,0.024120000000000003,0.030680000000000002
4992,0.02818,0.03306,0.03324,0.02464,0.03168
5120,0.028959999999999996,0.03346,0.03356,0.025880000000000004,0.031920000000000004
5248,0.0313,0.03438,0.03438,0.027060000000000008,0.0328
5376,0.03246,0.03498,0.034839999999999996,0.027720000000000005,0.034
5504,0.033979999999999996,0.03518,0.037079999999999995,0.028300000000000002,0.0344
5632,0.03418,0.03604,0.0369,0.030599999999999995,0.03392
5760,0.03526,0.036359999999999996,0.03774000000000001,0.0308,0.03457999999999999
5888,0.035879999999999995,0.036699999999999997,0.03842,0.0318,0.034820000000000004
6016,0.03578,0.037619999999999994,0.03807999999999999,0.03302,0.03554
6144,0.03724000000000001,0.03842,0.0397,0.03358,0.03626
6272,0.036,0.03862000000000001,0.0397,0.034820000000000004,0.03702
6400,0.0372,0.03988,0.03942,0.035140000000000005,0.0373
6528,0.03874,0.04022,0.041319999999999996,0.036500000000000005,0.03836
6656,0.0397,0.04094,0.04046000000000001,0.036759999999999994,0.03898
6784,0.040600000000000004,0.04156,0.04176,0.03788,0.03924
6912,0.04088,0.043000000000000003,0.04162,0.038160000000000006,0.04022
7040,0.040679999999999994,0.042140000000000004,0.043539999999999995,0.039619999999999995,0.040119999999999996
7168,0.042359999999999995,0.04193999999999999,0.043480000000000005,0.04078,0.041319999999999996
7296,0.0429,0.04266000000000001,0.043320000000000004,0.040479999999999995,0.04242
7424,0.04275999999999999,0.04418,0.044079999999999994,0.041920000000000006,0.04182
7552,0.04308,0.04436,0.04438,0.04232,0.04208
7680,0.04438,0.04536,0.04532,0.0427,0.043000000000000003
7808,0.045099999999999994,0.045579999999999996,0.04628,0.04364,0.043120000000000006
7936,0.045720000000000004,0.04598,0.046259999999999996,0.04396,0.044039999999999996
8064,0.046759999999999996,0.04552,0.04686,0.04531999999999999,0.04478
8192,0.047020000000000006,0.04552,0.0457,0.045,0.043859999999999996
8320,0.04736,0.04724,0.04854,0.04588,0.044239999999999995
8448,0.047200000000000006,0.048519999999999994,0.047659999999999994,0.04708,0.04556
8576,0.04838,0.04804,0.0477,0.047599999999999996,0.04683999999999999
8704,0.04852,0.04906,0.04892,0.047700000000000006,0.0467
8832,0.049300000000000004,0.04984,0.048679999999999994,0.047920000000000004,0.04666
8960,0.0503,0.0492,0.04936,0.048319999999999995,0.04898
9088,0.049659999999999996,0.05042,0.04939999999999999,0.04892,0.04888000000000001
9216,0.05057999999999999,0.050440000000000006,0.0504,0.050140000000000004,0.04902
9344,0.05107999999999999,0.05154000000000001,0.0516,0.050760000000000007,0.04956
9472,0.05192,0.05222,0.05178000000000001,0.0504,0.049499999999999995
9600,0.05192000000000001,0.05212,0.05164,0.051500000000000004,0.05042
9728,0.05334,0.05269999999999999,0.05304000000000001,0.05192,0.051759999999999994
9856,0.05286,0.0539,0.05244,0.051960000000000006,0.0526
9984,0.05406000000000001,0.054680000000000006,0.052739999999999995,0.053279999999999994,0.052259999999999994
10112,0.05424,0.05434,0.05404,0.05322,0.05358
10240,0.05464,0.05354,0.05346000000000001,0.05450000000000001,0.0531
10368,0.05484,0.05512,0.05458,0.05466,0.054259999999999996
