amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
32,0.10207999999999999,0.10111999999999999,0.09672,0.09775999999999999,0.10315999999999999
64,0.09981999999999999,0.09613999999999999,0.10125999999999999,0.09906,0.10639999999999998
96,0.09625999999999998,0.10302,0.10088,0.10076,0.10333999999999999
128,0.10128,0.10112000000000002,0.09747999999999998,0.09626,0.0984
160,0.09758,0.09942,0.09616,0.09614,0.09618
192,0.09544,0.09648,0.09834,0.09608,0.10081999999999999
224,0.09528,0.09776,0.0954,0.09437999999999999,0.09708
256,0.09441999999999999,0.0954,0.09544,0.09562,0.0972
288,0.09578,0.0954,0.0948,0.09602,0.0972
320,0.09554,0.0954,0.09534000000000001,0.0987,0.0972
352,0.09659999999999999,0.09767999999999999,0.09558,0.09659999999999999,0.10051999999999998
384,0.09753999999999999,0.09844,0.0988,0.09659999999999999,0.11122000000000001
416,0.09808,0.09625999999999998,0.10206,0.0972,0.11016000000000001
448,0.09966,0.09798,0.09834000000000001,0.0972,0.11202000000000001
480,0.10374000000000001,0.10247999999999999,0.1006,0.09728,0.1214
512,0.10543999999999998,0.10754,0.10288,0.1001,0.13196000000000002
544,0.10554,0.11116000000000001,0.11306000000000001,0.09836,0.13540000000000002
576,0.10916,0.1192,0.11102000000000001,0.10299999999999998,0.13466
608,0.11557999999999999,0.12090000000000001,0.11976,0.10451999999999999,0.13999999999999999
640,0.11291999999999999,0.12772,0.12543999999999997,0.10940000000000001,0.1441
672,0.11976,0.12974000000000002,0.11958000000000002,0.11040000000000001,0.14462000000000003
704,0.12313999999999999,0.13252,0.1273,0.11632,0.14586000000000002
736,0.12118,0.13324,0.13342,0.12331999999999999,0.14294
768,0.12674,0.13338,0.13284,0.12473999999999999,0.14834
800,0.13241999999999998,0.1318,0.1321,0.13615999999999998,0.14867999999999998
832,0.14172,0.13518,0.13924,0.12652000000000002,0.14708
864,0.14734,0.13992,0.13779999999999998,0.14098000000000002,0.14796
896,0.15836,0.13840000000000002,0.14067999999999997,0.14126,0.14940000000000003
928,0.16118000000000002,0.13626,0.14342,0.13828,0.14958
960,0.16258,0.14148,0.14492000000000002,0.14948,0.15022
992,0.16668,0.14154,0.14778,0.15667999999999999,0.15164
1024,0.16658,0.14426,0.14887999999999996,0.15924000000000002,0.15154
1056,0.16554000000000002,0.14714000000000002,0.15208,0.16295999999999997,0.15226
1088,0.17286,0.15050000000000002,0.15714,0.16572,0.15264
1120,0.17754000000000003,0.14734,0.16034,0.16885999999999998,0.15345999999999999
1152,0.17036,0.15606000000000003,0.16072,0.17378,0.15331999999999998
1184,0.17878000000000002,0.16324,0.1668,0.16968,0.1563
1216,0.18361999999999998,0.16590000000000002,0.16732,0.17144000000000004,0.15708000000000005
1248,0.17836000000000002,0.17319999999999997,0.17268,0.17498,0.15755999999999998
1280,0.18245999999999998,0.17556,0.17709999999999998,0.17658000000000001,0.15876000000000004
1312,0.18244000000000002,0.18226000000000003,0.17932,0.18394,0.16036
1344,0.18264,0.18822,0.18131999999999998,0.1861,0.16027999999999998
1376,0.18488,0.18912,0.18368,0.18396,0.1633
1408,0.18452000000000002,0.19566,0.18894,0.18417999999999998,0.16574
1440,0.18122,0.193,0.19048000000000004,0.18017999999999998,0.16749999999999998
1472,0.18517999999999998,0.19921999999999998,0.19138,0.18448,0.17207999999999998
1504,0.19197999999999998,0.19693999999999998,0.19802,0.18131999999999998,0.17616
1536,0.18674,0.20088,0.19684,0.18069999999999997,0.18324000000000001
1568,0.18522,0.20266,0.19906,0.18739999999999998,0.18791999999999998
1600,0.18484,0.20270000000000002,0.20380000000000004,0.19008000000000003,0.18915999999999997
1632,0.18557999999999997,0.20728,0.20732000000000003,0.18774,0.1915
1664,0.18431999999999998,0.2088,0.20739999999999997,0.18875999999999998,0.19262
1696,0.18966,0.21402000000000002,0.20886,0.19812,0.19541999999999998
1728,0.19446,0.20886,0.20869999999999997,0.19436,0.19598
1760,0.19049999999999997,0.21208000000000005,0.21545999999999998,0.19742,0.20080000000000003
1792,0.19736000000000004,0.21714000000000003,0.21648,0.1978,0.20095999999999997
1824,0.19380000000000003,0.22046000000000002,0.21405999999999997,0.20059999999999997,0.20340000000000003
1856,0.19636,0.21728,0.21822,0.19782000000000002,0.20474
1888,0.19436,0.21950000000000003,0.21921999999999997,0.20065999999999998,0.20665999999999998
1920,0.2008,0.22328,0.21778,0.19604,0.20680000000000004
1952,0.19558,0.22391999999999998,0.22212,0.19895999999999997,0.20968000000000003
1984,0.20456,0.22132000000000002,0.2226,0.19814,0.2076
