amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
32,0.10364,0.10282,0.10282,0.10169999999999998,0.10097999999999999
64,0.10677999999999999,0.11028,0.11017999999999999,0.1045,0.10258
96,0.09937999999999998,0.10302,0.10306,0.09888,0.10067999999999999
128,0.09876,0.1005,0.1005,0.09984000000000001,0.1006
160,0.10672,0.10455999999999999,0.10178000000000001,0.0992,0.10132000000000001
192,0.10354,0.10185999999999999,0.10200000000000001,0.0993,0.10333999999999999
224,0.10655999999999999,0.10435999999999998,0.10203999999999999,0.09992,0.10668000000000002
256,0.10726,0.11091999999999999,0.10984000000000001,0.10472,0.10788
288,0.10573999999999999,0.10424,0.10384,0.10191999999999998,0.11432000000000002
320,0.10091999999999998,0.10872000000000001,0.10772,0.10007999999999999,0.10276
352,0.10036,0.10698,0.10742,0.09918,0.1028
384,0.10206000000000001,0.10786,0.1078,0.10014,0.11122000000000001
416,0.10678000000000001,0.10872,0.1081,0.10284000000000001,0.12677999999999998
448,0.10624,0.11842,0.11876000000000002,0.10246000000000002,0.13676
480,0.11098000000000001,0.12969999999999998,0.13236,0.10118,0.14765999999999999
512,0.1125,0.14438,0.14288,0.10014,0.15716000000000002
544,0.11503999999999999,0.14822,0.1514,0.10358,0.17072
576,0.1189,0.15792,0.15780000000000002,0.10436000000000001,0.18573999999999996
608,0.11843999999999999,0.1592,0.16271999999999998,0.10746,0.19946000000000003
640,0.12847999999999998,0.15842,0.16082000000000002,0.12110000000000001,0.20298000000000002
672,0.13377999999999998,0.16118,0.16248,0.1212,0.20532
704,0.13286000000000003,0.16660000000000003,0.16752,0.14276,0.20716
736,0.13694,0.16814,0.16668,0.14228,0.20808
768,0.14020000000000002,0.17346,0.17234,0.15575999999999998,0.21391999999999997
800,0.14816000000000001,0.1824,0.17998000000000003,0.16102,0.22308
832,0.15444,0.18586000000000003,0.18246,0.16068,0.22474
864,0.15586,0.19083999999999998,0.18752000000000002,0.16019999999999998,0.22427999999999998
896,0.16212,0.19337999999999997,0.19044,0.16793999999999998,0.22999999999999998
928,0.16144000000000003,0.19912000000000002,0.19332000000000002,0.16904,0.22796
960,0.16704000000000002,0.20256,0.20129999999999998,0.17456,0.23922
992,0.17204000000000003,0.20508,0.1995,0.17895999999999998,0.23773999999999998
1024,0.16974,0.20844000000000001,0.20672000000000001,0.18162000000000003,0.24417999999999998
1056,0.17294,0.20898,0.20506000000000002,0.17986,0.23806
1088,0.17173999999999998,0.2081,0.2097,0.19024000000000002,0.24865999999999996
1120,0.17441999999999996,0.21503999999999995,0.21322000000000002,0.19356,0.25451999999999997
1152,0.17872,0.21484,0.21252,0.19119999999999998,0.25056
1184,0.18422,0.21766000000000005,0.22133999999999995,0.19546000000000002,0.25666
1216,0.18137999999999996,0.22366000000000003,0.22282000000000002,0.2004,0.2606
1248,0.18026,0.22310000000000002,0.22496,0.2022,0.26328
1280,0.18338,0.22944,0.23034000000000004,0.20225999999999997,0.26536
1312,0.1877,0.22841999999999998,0.22651999999999997,0.20950000000000002,0.26814
1344,0.18618,0.2318,0.23603999999999997,0.20705999999999997,0.26918
1376,0.18658000000000002,0.23656000000000002,0.23574,0.21261999999999998,0.27036000000000004
1408,0.19397999999999999,0.23900000000000002,0.23659999999999998,0.20887999999999995,0.27858
1440,0.19707999999999998,0.24245999999999998,0.24442000000000003,0.21760000000000002,0.27236
1472,0.19588,0.24622000000000002,0.24691999999999997,0.2158,0.28385999999999995
1504,0.20371999999999998,0.2434,0.24559999999999998,0.21646,0.28386000000000006
1536,0.20638,0.25004000000000004,0.24974,0.22022,0.2915
1568,0.20898000000000003,0.24642000000000003,0.25288,0.22469999999999998,0.28806
1600,0.21253999999999995,0.25981999999999994,0.25148000000000004,0.22124000000000002,0.28992000000000007
1632,0.22441999999999998,0.25586000000000003,0.25776000000000004,0.22496,0.28722
1664,0.21674,0.26128,0.26026000000000005,0.22603999999999996,0.30102
1696,0.2193,0.26261999999999996,0.26024,0.23152,0.29364
1728,0.21958000000000003,0.26334,0.26661999999999997,0.22481999999999996,0.30179999999999996
1760,0.22404000000000002,0.26696,0.27133999999999997,0.23222,0.30074000000000006
1792,0.22426,0.27318000000000003,0.26902,0.22986,0.30254
1824,0.22798,0.27538,0.27376000000000006,0.23499999999999996,0.30290000000000006
1856,0.23270000000000005,0.28285999999999994,0.27402000000000004,0.22988,0.3099
1888,0.23500000000000001,0.27868,0.27766,0.23562000000000002,0.31090000000000007
1920,0.23654000000000003,0.27912,0.28015999999999996,0.24264000000000002,0.31036
1952,0.23954,0.28336000000000006,0.28598,0.24906,0.30500000000000005
1984,0.24132000000000003,0.28848,0.28608,0.2431,0.31304
2016,0.24236,0.2824,0.2853,0.24604000000000004,0.31362
2048,0.24644,0.29354,0.28588,0.24172,0.31994
2080,0.24646000000000004,0.29554,0.29088,0.24834,0.32019999999999993
2112,0.24262,0.29919999999999997,0.29656000000000005,0.25044000000000005,0.32186
2144,0.25368,0.29882,0.29834,0.24298000000000003,0.32192000000000004
2176,0.25173999999999996,0.29575999999999997,0.29542,0.24921999999999994,0.32368
2208,0.25978,0.30345999999999995,0.3006599999999999,0.25388,0.32231999999999994
2240,0.25393999999999994,0.30358,0.30157999999999996,0.25114,0.33355999999999997
2272,0.25803999999999994,0.30318000000000006,0.29829999999999995,0.24659999999999999,0.33132
2304,0.25816,0.3081399999999999,0.2986,0.25092,0.32716
2336,0.26652,0.30962,0.30498,0.2652,0.3289599999999999
2368,0.2683,0.31167999999999996,0.30638000000000004,0.26084,0.33470000000000005
2400,0.27036000000000004,0.31056000000000006,0.30894,0.26076000000000005,0.33208
2432,0.27124000000000004,0.31366,0.31135999999999997,0.26299999999999996,0.32966
2464,0.2713,0.31946,0.31122000000000005,0.27262000000000003,0.33881999999999995
2496,0.27238,0.31578000000000006,0.31572,0.2681,0.33828
2528,0.27253999999999995,0.32294,0.31870000000000004,0.26908000000000004,0.3363
2560,0.28416,0.31574,0.31918,0.26634,0.34032
2592,0.2793,0.32477999999999996,0.3197,0.27978000000000003,0.34354
2624,0.28778000000000004,0.32565999999999995,0.3234,0.2757,0.34221999999999997
2656,0.28618,0.32822,0.32236000000000004,0.28491999999999995,0.34582
2688,0.29074,0.33108,0.32633999999999996,0.28224,0.34094
2720,0.29331999999999997,0.33111999999999997,0.32008000000000003,0.28382,0.34676
2752,0.2959,0.33174000000000003,0.3262,0.28484000000000004,0.34717999999999993
2784,0.28802000000000005,0.33376,0.32948,0.29067999999999994,0.34687999999999997
2816,0.29222,0.33608,0.33058,0.29614,0.35166000000000003
2848,0.30022000000000004,0.33775999999999995,0.3328,0.29341999999999996,0.34678000000000003
2880,0.29766000000000004,0.33618,0.33433999999999997,0.29292,0.35396
2912,0.30126,0.33796,0.33382,0.29453999999999997,0.35429999999999995
2944,0.30524,0.34154,0.33681999999999995,0.30579999999999996,0.35566
2976,0.30848000000000003,0.34072,0.33944,0.29762,0.35642
3008,0.31148000000000003,0.3423,0.33924,0.30136,0.3588
3040,0.31162,0.34022,0.34513999999999995,0.30720000000000003,0.35910000000000003
3072,0.31092,0.34235999999999994,0.34281999999999996,0.3038,0.35966
3104,0.31684000000000007,0.34531999999999996,0.3409,0.30583999999999995,0.36519999999999997
3136,0.32371999999999995,0.34607999999999994,0.34432,0.30932,0.36066000000000004
3168,0.31914000000000003,0.34897999999999996,0.34724000000000005,0.31400000000000006,0.36340000000000006
3200,0.31521999999999994,0.35136,0.35104,0.31364,0.36518
