amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
2,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445
4,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445
6,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445
8,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445
10,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10666666666666667
12,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.18444444444444444
14,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.11351851851851852
16,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.11351851851851852
18,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.11351851851851852
20,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.11351851851851852
22,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.11351851851851852
24,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.11351851851851852
26,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.11351851851851852
28,0.10444444444444445,0.10444444444444445,0.11203703703703703,0.10444444444444445,0.11351851851851852
30,0.11203703703703703,0.11203703703703703,0.11203703703703703,0.11203703703703703,0.11351851851851852
32,0.11203703703703703,0.11203703703703703,0.07666666666666666,0.11203703703703703,0.11351851851851852
34,0.11203703703703703,0.11203703703703703,0.13685185185185186,0.11203703703703703,0.11351851851851852
36,0.08407407407407408,0.10444444444444445,0.11203703703703703,0.07944444444444444,0.11351851851851852
38,0.10444444444444445,0.10444444444444445,0.11185185185185186,0.10444444444444445,0.11351851851851852
40,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.10444444444444445,0.11351851851851852
42,0.11203703703703703,0.10444444444444445,0.11722222222222223,0.11203703703703703,0.11351851851851852
44,0.11203703703703703,0.08018518518518518,0.11203703703703703,0.13796296296296295,0.11370370370370371
46,0.10444444444444445,0.10444444444444445,0.11203703703703703,0.10444444444444445,0.2174074074074074
48,0.10444444444444445,0.14296296296296296,0.1411111111111111,0.07814814814814815,0.21574074074074073
50,0.10425925925925926,0.14444444444444443,0.11203703703703703,0.11203703703703703,0.21981481481481482
52,0.11203703703703703,0.0875925925925926,0.08388888888888889,0.10444444444444445,0.2212962962962963
54,0.10388888888888889,0.12444444444444444,0.11203703703703703,0.11203703703703703,0.21796296296296297
56,0.07759259259259259,0.18314814814814814,0.14203703703703704,0.08481481481481482,0.22111111111111112
58,0.17314814814814813,0.18962962962962962,0.1037037037037037,0.11203703703703703,0.2174074074074074
60,0.15018518518518517,0.23851851851851852,0.10351851851851852,0.11203703703703703,0.2190740740740741
62,0.1725925925925926,0.2037037037037037,0.105,0.10222222222222223,0.2187037037037037
64,0.1837037037037037,0.2074074074074074,0.13814814814814816,0.14425925925925925,0.22092592592592591
66,0.24351851851851852,0.21685185185185185,0.16296296296296298,0.1275925925925926,0.2190740740740741
68,0.2298148148148148,0.21981481481481482,0.18592592592592594,0.10185185185185185,0.21796296296296297
70,0.23907407407407408,0.235,0.23777777777777778,0.1259259259259259,0.22037037037037038
72,0.25537037037037036,0.23777777777777778,0.24314814814814814,0.15,0.22037037037037038
74,0.25222222222222224,0.22722222222222221,0.24185185185185185,0.11203703703703703,0.21888888888888888
76,0.25055555555555553,0.25407407407407406,0.22018518518518518,0.12055555555555555,0.2190740740740741
78,0.25462962962962965,0.2511111111111111,0.2411111111111111,0.12055555555555555,0.21888888888888888
80,0.24314814814814814,0.21814814814814815,0.2477777777777778,0.09666666666666666,0.2175925925925926
82,0.25037037037037035,0.22907407407407407,0.24944444444444444,0.09388888888888888,0.22037037037037038
84,0.24703703703703703,0.24388888888888888,0.23407407407407407,0.13944444444444445,0.22055555555555556
86,0.25203703703703706,0.23814814814814814,0.24833333333333332,0.12074074074074075,0.22055555555555556
88,0.2512962962962963,0.2414814814814815,0.2375925925925926,0.14925925925925926,0.2190740740740741
90,0.24851851851851853,0.24703703703703703,0.2427777777777778,0.12944444444444445,0.2187037037037037
92,0.2518518518518518,0.25166666666666665,0.22925925925925925,0.14814814814814814,0.22111111111111112
94,0.24518518518518517,0.2524074074074074,0.2490740740740741,0.1512962962962963,0.22037037037037038
96,0.25222222222222224,0.23425925925925925,0.245,0.15185185185185185,0.21981481481481482
98,0.2490740740740741,0.25222222222222224,0.24407407407407408,0.14907407407407408,0.21703703703703703
100,0.25666666666666665,0.24944444444444444,0.24833333333333332,0.14703703703703705,0.22037037037037038
102,0.2437037037037037,0.24851851851851853,0.24703703703703703,0.1514814814814815,0.22111111111111112
104,0.25333333333333335,0.2462962962962963,0.2414814814814815,0.14333333333333334,0.21888888888888888
106,0.24592592592592594,0.2487037037037037,0.25277777777777777,0.15055555555555555,0.22037037037037038
108,0.24944444444444444,0.2512962962962963,0.25351851851851853,0.15388888888888888,0.22037037037037038
110,0.2511111111111111,0.2475925925925926,0.2524074074074074,0.1537037037037037,0.22018518518518518
112,0.25333333333333335,0.2514814814814815,0.24962962962962962,0.15685185185185185,0.22
114,0.2461111111111111,0.25037037037037035,0.23962962962962964,0.14777777777777779,0.21888888888888888
116,0.2525925925925926,0.25092592592592594,0.24814814814814815,0.15074074074074073,0.22018518518518518
118,0.25092592592592594,0.25055555555555553,0.2461111111111111,0.14814814814814814,0.22037037037037038
120,0.2501851851851852,0.24407407407407408,0.2487037037037037,0.14851851851851852,0.22037037037037038
122,0.24685185185185185,0.25277777777777777,0.2561111111111111,0.15703703703703703,0.22074074074074074
124,0.24037037037037037,0.25222222222222224,0.25666666666666665,0.15407407407407409,0.2187037037037037
126,0.2487037037037037,0.25203703703703706,0.25351851851851853,0.14833333333333334,0.22074074074074074
128,0.25592592592592595,0.2525925925925926,0.2501851851851852,0.14981481481481482,0.22111111111111112
130,0.25074074074074076,0.2511111111111111,0.2612962962962963,0.15703703703703703,0.22537037037037036
132,0.2575925925925926,0.2548148148148148,0.2538888888888889,0.15425925925925926,0.2285185185185185
134,0.25351851851851853,0.25574074074074077,0.25796296296296295,0.15055555555555555,0.22240740740740741
136,0.25092592592592594,0.25351851851851853,0.2594444444444444,0.1527777777777778,0.2324074074074074
138,0.26351851851851854,0.25,0.2487037037037037,0.155,0.22296296296296297
140,0.2537037037037037,0.24796296296296297,0.25851851851851854,0.15666666666666668,0.23074074074074075
142,0.25555555555555554,0.2612962962962963,0.2525925925925926,0.15648148148148147,0.2375925925925926
144,0.24962962962962962,0.25166666666666665,0.24518518518518517,0.1487037037037037,0.2574074074074074
146,0.2581481481481481,0.26037037037037036,0.25407407407407406,0.15333333333333332,0.22314814814814815
148,0.25907407407407407,0.26037037037037036,0.2607407407407407,0.1537037037037037,0.25722222222222224
150,0.25592592592592595,0.2574074074074074,0.2562962962962963,0.15,0.22574074074074074
152,0.2683333333333333,0.25462962962962965,0.25685185185185183,0.1511111111111111,0.23666666666666666
154,0.2594444444444444,0.25685185185185183,0.267037037037037,0.15666666666666668,0.23092592592592592
156,0.2625925925925926,0.24666666666666667,0.2688888888888889,0.15314814814814814,0.24037037037037037
158,0.2627777777777778,0.255,0.26351851851851854,0.15685185185185185,0.2727777777777778
160,0.26796296296296296,0.26296296296296295,0.2638888888888889,0.15444444444444444,0.23203703703703704
162,0.2651851851851852,0.2564814814814815,0.25555555555555554,0.15555555555555556,0.23555555555555555
164,0.265,0.2544444444444444,0.2683333333333333,0.14962962962962964,0.27870370370370373
166,0.265,0.25981481481481483,0.26407407407407407,0.15407407407407409,0.26814814814814814
168,0.26666666666666666,0.26611111111111113,0.2725925925925926,0.15259259259259259,0.26796296296296296
170,0.26796296296296296,0.26314814814814813,0.26944444444444443,0.15425925925925926,0.27425925925925926
172,0.27574074074074073,0.2690740740740741,0.2709259259259259,0.15388888888888888,0.30907407407407406
174,0.26611111111111113,0.265,0.26685185185185184,0.15018518518518517,0.2677777777777778
176,0.26314814814814813,0.2601851851851852,0.2687037037037037,0.15407407407407409,0.31462962962962965
178,0.2801851851851852,0.2696296296296296,0.2809259259259259,0.1527777777777778,0.29944444444444446
180,0.2775925925925926,0.2772222222222222,0.2738888888888889,0.15481481481481482,0.27166666666666667
182,0.26351851851851854,0.2657407407407407,0.27,0.1574074074074074,0.2709259259259259
184,0.2714814814814815,0.2683333333333333,0.27796296296296297,0.15407407407407409,0.2401851851851852
186,0.27555555555555555,0.28074074074074074,0.2709259259259259,0.14833333333333334,0.2838888888888889
188,0.2707407407407407,0.27925925925925926,0.2727777777777778,0.15444444444444444,0.26666666666666666
190,0.27814814814814814,0.25907407407407407,0.26481481481481484,0.1524074074074074,0.25074074074074076
192,0.2837037037037037,0.26814814814814814,0.27944444444444444,0.15518518518518518,0.2607407407407407
194,0.2835185185185185,0.2664814814814815,0.2866666666666667,0.15703703703703703,0.2916666666666667
196,0.29185185185185186,0.2903703703703704,0.2961111111111111,0.15444444444444444,0.29907407407407405
198,0.2811111111111111,0.27870370370370373,0.272037037037037,0.15555555555555556,0.3181481481481481
200,0.2853703703703704,0.2701851851851852,0.27796296296296297,0.1574074074074074,0.2937037037037037
