amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
32,0.10737037037037038,0.10737037037037038,0.10737037037037038,0.10737037037037038,0.10737037037037038
64,0.10855555555555556,0.1085925925925926,0.1085925925925926,0.10681481481481483,0.11000000000000001
96,0.10848148148148148,0.11225925925925925,0.11225925925925925,0.08677777777777777,0.11922222222222223
128,0.11259259259259258,0.11366666666666667,0.11366666666666667,0.10625925925925928,0.11225925925925925
160,0.10692592592592594,0.11055555555555556,0.11014814814814815,0.10462962962962963,0.12803703703703703
192,0.11292592592592592,0.11322222222222222,0.11322222222222222,0.09281481481481482,0.13344444444444442
224,0.11292592592592592,0.11322222222222222,0.11322222222222222,0.11203703703703702,0.13496296296296295
256,0.11292592592592592,0.11322222222222222,0.11322222222222222,0.11203703703703702,0.12996296296296297
288,0.11262962962962964,0.11322222222222222,0.11322222222222222,0.11203703703703702,0.11355555555555555
320,0.11262962962962964,0.11322222222222222,0.11322222222222222,0.11203703703703702,0.11351851851851853
