amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
128,0.0976,0.0966,0.1024,0.1342,0.0984
256,0.0976,0.1014,0.1026,0.1314,0.0976
384,0.0976,0.0998,0.0998,0.1286,0.0976
512,0.0976,0.0998,0.0998,0.0982,0.0976
640,0.0976,0.0998,0.0998,0.0972,0.0976
768,0.0976,0.0998,0.0998,0.0986,0.0978
896,0.0976,0.0998,0.0998,0.0996,0.1118
1024,0.0976,0.0998,0.0998,0.0996,0.1088
1152,0.0976,0.0998,0.0998,0.0978,0.0998
1280,0.0976,0.0998,0.0998,0.0976,0.1002
1408,0.0976,0.0998,0.0998,0.0976,0.107
1536,0.0976,0.123,0.1464,0.0978,0.1128
1664,0.0976,0.1028,0.1052,0.0976,0.1096
1792,0.0976,0.1142,0.1404,0.1006,0.1404
1920,0.0976,0.1146,0.1428,0.1128,0.1242
2048,0.149,0.1312,0.1472,0.1324,0.1394
2176,0.1476,0.1268,0.149,0.1404,0.1378
2304,0.134,0.128,0.1474,0.1476,0.1458
2432,0.1328,0.1226,0.15,0.1432,0.1476
2560,0.147,0.1306,0.1512,0.136,0.1436
2688,0.1344,0.1346,0.1522,0.1434,0.1446
2816,0.1194,0.1414,0.1524,0.1388,0.147
2944,0.1276,0.1434,0.1564,0.1418,0.1452
3072,0.1548,0.1454,0.1604,0.1496,0.1472
3200,0.1636,0.1466,0.1692,0.1416,0.1496
3328,0.1678,0.1452,0.176,0.165,0.1494
3456,0.162,0.1498,0.194,0.148,0.151
3584,0.1846,0.1494,0.2006,0.1492,0.1514
3712,0.1714,0.1544,0.1994,0.158,0.1518
3840,0.1854,0.1592,0.2076,0.1678,0.1534
3968,0.179,0.1598,0.2176,0.1754,0.1558
4096,0.193,0.1708,0.223,0.1706,0.1576
4224,0.1938,0.1772,0.217,0.185,0.1626
4352,0.2038,0.1814,0.2164,0.1854,0.1644
4480,0.1986,0.1852,0.225,0.1976,0.1778
4608,0.2104,0.2018,0.2276,0.1948,0.1808
4736,0.2194,0.202,0.2278,0.189,0.1812
4864,0.2124,0.2132,0.2338,0.2148,0.1944
4992,0.216,0.2036,0.2264,0.2078,0.2042
5120,0.2206,0.2114,0.227,0.2126,0.1968
5248,0.2316,0.2178,0.2302,0.219,0.209
5376,0.2264,0.2166,0.2272,0.22,0.2074
5504,0.2214,0.2238,0.239,0.2216,0.2124
5632,0.2262,0.2198,0.2368,0.2202,0.2212
5760,0.2298,0.2178,0.2282,0.2206,0.2156
5888,0.2254,0.2204,0.2332,0.2274,0.2248
6016,0.2336,0.2274,0.232,0.23,0.2204
6144,0.2316,0.2242,0.2452,0.2374,0.229
6272,0.227,0.2298,0.2358,0.2258,0.22
6400,0.2348,0.2298,0.2398,0.2336,0.217
6528,0.231,0.2286,0.2306,0.2422,0.2198
6656,0.2444,0.2342,0.2352,0.2354,0.2282
6784,0.239,0.2344,0.2402,0.2308,0.2256
6912,0.2388,0.2312,0.2406,0.2366,0.2294
7040,0.237,0.2414,0.24,0.2368,0.2288
7168,0.2424,0.24,0.2388,0.2454,0.2348
7296,0.2452,0.242,0.2394,0.2444,0.2244
7424,0.244,0.237,0.2316,0.2552,0.2306
7552,0.2442,0.237,0.2376,0.2434,0.2352
7680,0.2432,0.2446,0.2384,0.2582,0.2324
7808,0.2292,0.242,0.2484,0.2568,0.2312
7936,0.2506,0.241,0.2338,0.2588,0.2418
8064,0.2462,0.2518,0.2508,0.2432,0.2364
8192,0.2396,0.2536,0.253,0.2514,0.2458
8320,0.2358,0.244,0.2552,0.253,0.2342
8448,0.2456,0.2624,0.2482,0.2586,0.2358
8576,0.253,0.2634,0.2486,0.2586,0.2396
8704,0.2578,0.2518,0.2538,0.2724,0.2456
8832,0.2424,0.26,0.2492,0.2558,0.2442
8960,0.2634,0.278,0.2486,0.2554,0.2438
9088,0.2536,0.284,0.2584,0.2682,0.2454
9216,0.2706,0.2812,0.2644,0.2604,0.2456
9344,0.2646,0.2728,0.2644,0.2806,0.2532
9472,0.2752,0.274,0.2684,0.2776,0.25
9600,0.263,0.2704,0.2616,0.2726,0.2534
9728,0.2808,0.2602,0.255,0.2778,0.2506
9856,0.2902,0.29,0.2644,0.2754,0.2528
9984,0.283,0.2728,0.2604,0.2656,0.2452
10112,0.2724,0.2952,0.258,0.282,0.254
10240,0.2608,0.2804,0.2738,0.2952,0.2562
10368,0.2548,0.2884,0.267,0.2812,0.256
10496,0.2808,0.2776,0.2788,0.3022,0.2504
10624,0.2762,0.2858,0.2892,0.2696,0.2524
10752,0.2772,0.2842,0.2866,0.2896,0.261
10880,0.2788,0.2742,0.2726,0.2896,0.2554
11008,0.276,0.2914,0.273,0.2794,0.265
11136,0.2576,0.2876,0.2722,0.2766,0.265
11264,0.277,0.2868,0.2696,0.299,0.2604
11392,0.2678,0.2864,0.2646,0.2902,0.2598
11520,0.292,0.3004,0.2912,0.2838,0.2542
11648,0.299,0.2926,0.2796,0.301,0.267
11776,0.2982,0.3014,0.2764,0.2828,0.2576
11904,0.313,0.2978,0.293,0.2904,0.2594
12032,0.2636,0.2708,0.296,0.3084,0.2692
12160,0.2992,0.2976,0.2764,0.2808,0.271
12288,0.2858,0.2868,0.2844,0.2898,0.2648
12416,0.2892,0.2978,0.3026,0.294,0.265
12544,0.2974,0.2942,0.3072,0.3066,0.2536
12672,0.2914,0.317,0.3066,0.2882,0.2694
12800,0.3164,0.2878,0.3154,0.287,0.2776
